                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.0281,                   2.05,                0.72243,                 1.0404,                0.69053,                0.58083,                0.63041,                0.39419,                0.65937,                0.51428,                 0.5415,                0.25999,                  1.195,                 2.3053,                0.84478,                 1.1266,             0.00042925,             0.00042925,             0.00042925
                     78,                  1.029,                 2.0705,                0.72924,                 1.0429,                0.70595,                0.59767,                0.64544,                 0.4004,                0.65443,                0.52946,                0.54747,                0.26712,                 1.1908,                 2.3088,                0.83714,                 1.1298,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.0331,                 2.0733,                0.72847,                 1.0425,                0.74347,                0.58692,                0.64469,                 0.4031,                0.65835,                0.52994,                0.55107,                0.26823,                 1.1938,                 2.3328,                0.82474,                 1.1336,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.0186,                 2.0407,                 0.7096,                 1.0366,                0.73107,                0.57828,                0.63835,                0.39919,                0.66697,                0.51892,                0.54889,                0.26517,                 1.2044,                 2.3133,                0.83388,                 1.1414,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.0273,                  2.048,                0.71493,                 1.0419,                0.73436,                0.59846,                0.64341,                 0.3989,                 0.6701,                0.53236,                 0.5566,                0.26992,                 1.1854,                 2.2946,                0.81539,                 1.1222,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.0235,                  2.039,                0.71653,                 1.0385,                0.72859,                0.59904,                0.64319,                0.40074,                0.67427,                0.53258,                0.55079,                 0.2695,                 1.1793,                 2.2906,                0.81711,                 1.1234,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.0106,                  2.034,                0.70677,                 1.0341,                0.71549,                0.59638,                0.63997,                0.39737,                0.68754,                0.50031,                0.54004,                0.26725,                 1.1887,                 2.3068,                0.81838,                 1.1148,             0.00033023,             0.00033023,             0.00033023
                     84,                  1.011,                 2.0367,                  0.704,                 1.0324,                0.72646,                0.59623,                 0.6445,                0.40053,                 0.6438,                0.52742,                 0.5484,                0.26793,                 1.1896,                 2.2933,                0.82473,                 1.1233,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.0081,                 2.0433,                0.71049,                 1.0336,                0.73041,                0.59279,                0.64797,                0.39763,                0.67265,                0.53466,                0.55844,                0.27082,                 1.1942,                 2.2845,                0.82235,                 1.1238,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.0015,                 2.0283,                 0.6938,                 1.0268,                0.71911,                0.60421,                0.65133,                0.39923,                0.65662,                0.53199,                0.55391,                0.26558,                 1.1875,                 2.2991,                0.82347,                 1.1224,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.0072,                 2.0285,                0.69949,                 1.0279,                0.71069,                0.60127,                0.64511,                0.39895,                0.67285,                0.52634,                0.55317,                0.26591,                 1.1841,                 2.3019,                0.82464,                 1.1279,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.0049,                 2.0084,                0.69996,                  1.031,                0.74193,                 0.6011,                0.65277,                 0.4036,                0.70495,                0.50636,                0.55436,                0.26503,                  1.188,                 2.3049,                0.82526,                  1.128,             0.00024772,             0.00024772,             0.00024772
                     89,                0.99368,                 2.0118,                0.69254,                 1.0267,                0.73469,                0.58228,                0.65077,                0.40385,                0.65153,                0.52106,                0.55198,                0.26888,                 1.2008,                 2.3085,                0.81541,                 1.1384,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.0051,                 2.0301,                0.69767,                 1.0323,                0.73283,                0.60318,                 0.6529,                0.40496,                0.64449,                0.52235,                0.54487,                0.26667,                 1.1989,                 2.3117,                0.82857,                 1.1354,             0.00021471,             0.00021471,             0.00021471
                     91,                0.97781,                 1.9898,                0.66554,                 1.0111,                0.73834,                0.57977,                0.64462,                 0.4029,                0.69067,                0.50969,                0.54555,                0.26324,                 1.1917,                 2.3253,                0.82973,                 1.1282,             0.00019821,             0.00019821,             0.00019821
                     92,                 0.9655,                  1.966,                0.64813,                 1.0107,                0.71298,                0.60305,                 0.6465,                0.40175,                0.65235,                0.52012,                0.54202,                0.26443,                 1.2021,                 2.3262,                0.83544,                 1.1327,              0.0001817,              0.0001817,              0.0001817
                     93,                0.96235,                 1.9725,                0.64428,                 1.0093,                0.72646,                0.58552,                  0.647,                0.40401,                0.65804,                0.52843,                0.55226,                0.26798,                 1.1951,                 2.3084,                0.82357,                 1.1309,              0.0001652,              0.0001652,              0.0001652
                     94,                   0.96,                 1.9492,                0.64029,                 1.0062,                0.70793,                0.60111,                0.64785,                0.40218,                0.65295,                0.52633,                0.54711,                0.26805,                 1.1972,                 2.3123,                0.82477,                 1.1277,              0.0001487,              0.0001487,              0.0001487
                     95,                 0.9542,                 1.9566,                 0.6398,                 1.0034,                0.70149,                0.62374,                0.65364,                0.40408,                0.67247,                0.51064,                 0.5475,                0.26693,                  1.192,                 2.3054,                0.81018,                 1.1343,             0.00013219,             0.00013219,             0.00013219
                     96,                 0.9536,                 1.9566,                0.63281,                 1.0026,                0.71438,                0.59901,                 0.6508,                0.40498,                0.66744,                 0.5049,                 0.5453,                0.26841,                 1.1885,                 2.3012,                0.81712,                 1.1292,             0.00011569,             0.00011569,             0.00011569
                     97,                0.95416,                 1.9611,                0.63424,                0.99973,                 0.7096,                0.60161,                0.65057,                0.40268,                0.64696,                0.52322,                0.54981,                0.26706,                 1.2004,                 2.3119,                0.82788,                  1.136,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.95358,                 1.9545,                0.62943,                 1.0008,                0.71043,                0.60604,                0.65343,                0.40425,                0.66331,                0.51824,                0.54464,                0.26604,                 1.1922,                 2.3083,                0.82894,                 1.1275,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.94477,                 1.9403,                 0.6264,                0.99808,                0.72569,                 0.5961,                0.65317,                0.40325,                0.67253,                0.49295,                0.53618,                0.26682,                 1.2006,                 2.3218,                0.82372,                 1.1419,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.93899,                 1.9398,                0.62177,                0.99545,                0.72175,                0.60484,                0.65446,                0.40254,                0.65605,                0.50765,                0.54126,                0.26442,                 1.1949,                 2.3203,                0.81681,                  1.139,             4.9677e-05,             4.9677e-05,             4.9677e-05
